threshold,accuracy,precision,recall,specificity,f1,f2,roc_auc,true_positive,false_positive,true_negative,false_negative
0.05,0.5416666666666666,0.5217391304347826,1.0,0.08333333333333333,0.6857142857142857,0.8450704225352113,0.9618055555555556,24.0,22.0,2.0,0.0
0.06,0.5625,0.5333333333333333,1.0,0.125,0.6956521739130435,0.851063829787234,0.9618055555555556,24.0,21.0,3.0,0.0
0.07,0.5833333333333334,0.5454545454545454,1.0,0.16666666666666666,0.7058823529411765,0.8571428571428571,0.9618055555555556,24.0,20.0,4.0,0.0
0.08,0.5833333333333334,0.5454545454545454,1.0,0.16666666666666666,0.7058823529411765,0.8571428571428571,0.9618055555555556,24.0,20.0,4.0,0.0
0.09,0.5833333333333334,0.5454545454545454,1.0,0.16666666666666666,0.7058823529411765,0.8571428571428571,0.9618055555555556,24.0,20.0,4.0,0.0
0.1,0.5833333333333334,0.5454545454545454,1.0,0.16666666666666666,0.7058823529411765,0.8571428571428571,0.9618055555555556,24.0,20.0,4.0,0.0
0.11,0.6041666666666666,0.5581395348837209,1.0,0.20833333333333334,0.7164179104477612,0.8633093525179856,0.9618055555555556,24.0,19.0,5.0,0.0
0.12,0.6041666666666666,0.5581395348837209,1.0,0.20833333333333334,0.7164179104477612,0.8633093525179856,0.9618055555555556,24.0,19.0,5.0,0.0
0.13,0.6041666666666666,0.5609756097560976,0.9583333333333334,0.25,0.7076923076923077,0.8394160583941606,0.9618055555555556,23.0,18.0,6.0,1.0
0.14,0.6041666666666666,0.5609756097560976,0.9583333333333334,0.25,0.7076923076923077,0.8394160583941606,0.9618055555555556,23.0,18.0,6.0,1.0
0.15,0.625,0.575,0.9583333333333334,0.2916666666666667,0.71875,0.8455882352941176,0.9618055555555556,23.0,17.0,7.0,1.0
0.16,0.625,0.575,0.9583333333333334,0.2916666666666667,0.71875,0.8455882352941176,0.9618055555555556,23.0,17.0,7.0,1.0
0.17,0.625,0.575,0.9583333333333334,0.2916666666666667,0.71875,0.8455882352941176,0.9618055555555556,23.0,17.0,7.0,1.0
0.18,0.625,0.575,0.9583333333333334,0.2916666666666667,0.71875,0.8455882352941176,0.9618055555555556,23.0,17.0,7.0,1.0
0.19,0.625,0.575,0.9583333333333334,0.2916666666666667,0.71875,0.8455882352941176,0.9618055555555556,23.0,17.0,7.0,1.0
0.2,0.625,0.575,0.9583333333333334,0.2916666666666667,0.71875,0.8455882352941176,0.9618055555555556,23.0,17.0,7.0,1.0
0.21,0.6666666666666666,0.6052631578947368,0.9583333333333334,0.375,0.7419354838709677,0.8582089552238806,0.9618055555555556,23.0,15.0,9.0,1.0
0.22,0.6666666666666666,0.6052631578947368,0.9583333333333334,0.375,0.7419354838709677,0.8582089552238806,0.9618055555555556,23.0,15.0,9.0,1.0
