threshold,accuracy,precision,recall,specificity,f1,f2,roc_auc,true_positive,false_positive,true_negative,false_negative
0.05,0.7291666666666666,0.6486486486486487,1.0,0.4583333333333333,0.7868852459016393,0.9022556390977443,0.9513888888888888,24.0,13.0,11.0,0.0
0.06,0.75,0.6666666666666666,1.0,0.5,0.8,0.9090909090909091,0.9513888888888888,24.0,12.0,12.0,0.0
0.07,0.75,0.6666666666666666,1.0,0.5,0.8,0.9090909090909091,0.9513888888888888,24.0,12.0,12.0,0.0
0.08,0.7708333333333334,0.6857142857142857,1.0,0.5416666666666666,0.8135593220338984,0.916030534351145,0.9513888888888888,24.0,11.0,13.0,0.0
0.09,0.7916666666666666,0.7058823529411765,1.0,0.5833333333333334,0.8275862068965517,0.9230769230769231,0.9513888888888888,24.0,10.0,14.0,0.0
0.1,0.8333333333333334,0.75,1.0,0.6666666666666666,0.8571428571428571,0.9375,0.9513888888888888,24.0,8.0,16.0,0.0
0.11,0.8541666666666666,0.7741935483870968,1.0,0.7083333333333334,0.8727272727272727,0.9448818897637795,0.9513888888888888,24.0,7.0,17.0,0.0
0.12,0.8541666666666666,0.7741935483870968,1.0,0.7083333333333334,0.8727272727272727,0.9448818897637795,0.9513888888888888,24.0,7.0,17.0,0.0
0.13,0.8541666666666666,0.7741935483870968,1.0,0.7083333333333334,0.8727272727272727,0.9448818897637795,0.9513888888888888,24.0,7.0,17.0,0.0
0.14,0.8333333333333334,0.7666666666666667,0.9583333333333334,0.7083333333333334,0.8518518518518519,0.9126984126984127,0.9513888888888888,23.0,7.0,17.0,1.0
0.15,0.8541666666666666,0.7931034482758621,0.9583333333333334,0.75,0.8679245283018868,0.92,0.9513888888888888,23.0,6.0,18.0,1.0
0.16,0.875,0.8214285714285714,0.9583333333333334,0.7916666666666666,0.8846153846153846,0.9274193548387096,0.9513888888888888,23.0,5.0,19.0,1.0
0.17,0.875,0.8214285714285714,0.9583333333333334,0.7916666666666666,0.8846153846153846,0.9274193548387096,0.9513888888888888,23.0,5.0,19.0,1.0
0.18,0.875,0.8214285714285714,0.9583333333333334,0.7916666666666666,0.8846153846153846,0.9274193548387096,0.9513888888888888,23.0,5.0,19.0,1.0
0.19,0.875,0.8214285714285714,0.9583333333333334,0.7916666666666666,0.8846153846153846,0.9274193548387096,0.9513888888888888,23.0,5.0,19.0,1.0
0.2,0.8541666666666666,0.8148148148148148,0.9166666666666666,0.7916666666666666,0.8627450980392157,0.8943089430894309,0.9513888888888888,22.0,5.0,19.0,2.0
0.21,0.8541666666666666,0.8148148148148148,0.9166666666666666,0.7916666666666666,0.8627450980392157,0.8943089430894309,0.9513888888888888,22.0,5.0,19.0,2.0
0.22,0.8541666666666666,0.8148148148148148,0.9166666666666666,0.7916666666666666,0.8627450980392157,0.8943089430894309,0.9513888888888888,22.0,5.0,19.0,2.0
0.23,0.8541666666666666,0.8148148148148148,0.9166666666666666,0.7916666666666666,0.8627450980392157,0.8943089430894309,0.9513888888888888,22.0,5.0,19.0,2.0
0.24,0.8541666666666666,0.8148148148148148,0.9166666666666666,0.7916666666666666,0.8627450980392157,0.8943089430894309,0.9513888888888888,22.0,5.0,19.0,2.0
0.25,0.8333333333333334,0.8076923076923077,0.875,0.7916666666666666,0.84,0.860655737704918,0.9513888888888888,21.0,5.0,19.0,3.0
0.26,0.8125,0.8,0.8333333333333334,0.7916666666666666,0.8163265306122449,0.8264462809917356,0.9513888888888888,20.0,5.0,19.0,4.0
0.27,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9513888888888888,20.0,4.0,20.0,4.0
0.28,0.8541666666666666,0.8695652173913043,0.8333333333333334,0.875,0.851063829787234,0.8403361344537815,0.9513888888888888,20.0,3.0,21.0,4.0
0.29,0.8541666666666666,0.8695652173913043,0.8333333333333334,0.875,0.851063829787234,0.8403361344537815,0.9513888888888888,20.0,3.0,21.0,4.0
0.3,0.8541666666666666,0.8695652173913043,0.8333333333333334,0.875,0.851063829787234,0.8403361344537815,0.9513888888888888,20.0,3.0,21.0,4.0
0.31,0.8541666666666666,0.8695652173913043,0.8333333333333334,0.875,0.851063829787234,0.8403361344537815,0.9513888888888888,20.0,3.0,21.0,4.0
0.32,0.8541666666666666,0.8695652173913043,0.8333333333333334,0.875,0.851063829787234,0.8403361344537815,0.9513888888888888,20.0,3.0,21.0,4.0
0.33,0.8541666666666666,0.8695652173913043,0.8333333333333334,0.875,0.851063829787234,0.8403361344537815,0.9513888888888888,20.0,3.0,21.0,4.0
0.34,0.8541666666666666,0.8695652173913043,0.8333333333333334,0.875,0.851063829787234,0.8403361344537815,0.9513888888888888,20.0,3.0,21.0,4.0
0.35,0.8541666666666666,0.8695652173913043,0.8333333333333334,0.875,0.851063829787234,0.8403361344537815,0.9513888888888888,20.0,3.0,21.0,4.0
0.36,0.8541666666666666,0.8695652173913043,0.8333333333333334,0.875,0.851063829787234,0.8403361344537815,0.9513888888888888,20.0,3.0,21.0,4.0
0.37,0.8541666666666666,0.8695652173913043,0.8333333333333334,0.875,0.851063829787234,0.8403361344537815,0.9513888888888888,20.0,3.0,21.0,4.0
0.38,0.8541666666666666,0.8695652173913043,0.8333333333333334,0.875,0.851063829787234,0.8403361344537815,0.9513888888888888,20.0,3.0,21.0,4.0
0.39,0.875,0.9090909090909091,0.8333333333333334,0.9166666666666666,0.8695652173913043,0.847457627118644,0.9513888888888888,20.0,2.0,22.0,4.0
0.4,0.875,0.9090909090909091,0.8333333333333334,0.9166666666666666,0.8695652173913043,0.847457627118644,0.9513888888888888,20.0,2.0,22.0,4.0
0.41,0.875,0.9090909090909091,0.8333333333333334,0.9166666666666666,0.8695652173913043,0.847457627118644,0.9513888888888888,20.0,2.0,22.0,4.0
0.42,0.875,0.9090909090909091,0.8333333333333334,0.9166666666666666,0.8695652173913043,0.847457627118644,0.9513888888888888,20.0,2.0,22.0,4.0
0.43,0.875,0.9090909090909091,0.8333333333333334,0.9166666666666666,0.8695652173913043,0.847457627118644,0.9513888888888888,20.0,2.0,22.0,4.0
0.44,0.875,0.9090909090909091,0.8333333333333334,0.9166666666666666,0.8695652173913043,0.847457627118644,0.9513888888888888,20.0,2.0,22.0,4.0
0.45,0.8541666666666666,0.9047619047619048,0.7916666666666666,0.9166666666666666,0.8444444444444444,0.811965811965812,0.9513888888888888,19.0,2.0,22.0,5.0
0.46,0.8541666666666666,0.9047619047619048,0.7916666666666666,0.9166666666666666,0.8444444444444444,0.811965811965812,0.9513888888888888,19.0,2.0,22.0,5.0
0.47,0.8541666666666666,0.9047619047619048,0.7916666666666666,0.9166666666666666,0.8444444444444444,0.811965811965812,0.9513888888888888,19.0,2.0,22.0,5.0
0.48,0.8541666666666666,0.9047619047619048,0.7916666666666666,0.9166666666666666,0.8444444444444444,0.811965811965812,0.9513888888888888,19.0,2.0,22.0,5.0
0.49,0.8541666666666666,0.9047619047619048,0.7916666666666666,0.9166666666666666,0.8444444444444444,0.811965811965812,0.9513888888888888,19.0,2.0,22.0,5.0
0.5,0.8541666666666666,0.9047619047619048,0.7916666666666666,0.9166666666666666,0.8444444444444444,0.811965811965812,0.9513888888888888,19.0,2.0,22.0,5.0
0.51,0.8541666666666666,0.9047619047619048,0.7916666666666666,0.9166666666666666,0.8444444444444444,0.811965811965812,0.9513888888888888,19.0,2.0,22.0,5.0
0.52,0.8541666666666666,0.9047619047619048,0.7916666666666666,0.9166666666666666,0.8444444444444444,0.811965811965812,0.9513888888888888,19.0,2.0,22.0,5.0
0.53,0.8541666666666666,0.9047619047619048,0.7916666666666666,0.9166666666666666,0.8444444444444444,0.811965811965812,0.9513888888888888,19.0,2.0,22.0,5.0
0.54,0.8541666666666666,0.9047619047619048,0.7916666666666666,0.9166666666666666,0.8444444444444444,0.811965811965812,0.9513888888888888,19.0,2.0,22.0,5.0
0.55,0.8541666666666666,0.9047619047619048,0.7916666666666666,0.9166666666666666,0.8444444444444444,0.811965811965812,0.9513888888888888,19.0,2.0,22.0,5.0
